Country,Mining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Australia,4%,Australia 4.1%,0.002261905,Local Community,Drinking water coverage,1,0.002544643,Safe and healthy living conditions
Australia,4%,Australia 4.1%,0.002261905,Local Community,International Migrant Stock,5,0.002544643,Migration
Australia,4%,Australia 4.1%,0.002261905,Local Community,Presence of indigenous population,3,0.002544643,Respect of indigenous rights
Australia,4%,Australia 4.1%,0.002261905,Local Community,Sanitation coverage,3,0.002544643,Safe and healthy living conditions
Australia,4%,Australia 4.1%,0.002261905,Society,Embodied value added total,5,0.001696429,Contribution to economic development
Australia,4%,Australia 4.1%,0.002261905,Society,Global Peace Index,1,0.001696429,Health and Safety
Australia,4%,Australia 4.1%,0.002261905,Society,"Health expenditure, total",3,0.001696429,Health and Safety
Australia,4%,Australia 4.1%,0.002261905,Society,"Illiteracy rate, total",3,0.001696429,Contribution to economic development
Australia,4%,Australia 4.1%,0.002261905,Society,Life expectancy at birth,0,0.001696429,Health and Safety
Australia,4%,Australia 4.1%,0.002261905,Society,Public expenditure on education,2,0.001696429,Contribution to economic development
Australia,4%,Australia 4.1%,0.002261905,Value Chain Actors,Public sector corruption,2,0.010178571,Corruption
Australia,4%,Australia 4.1%,0.002261905,Workers,"Children in employment, total",2,0.001454082,Child labour
Australia,4%,Australia 4.1%,0.002261905,Workers,Evidence of violations of laws and employment regulations,3,0.001454082,"Social benefits, legal issues"
Australia,4%,Australia 4.1%,0.002261905,Workers,"Sector average wage, per month",1,0.001454082,Fair Salary
Australia,4%,Australia 4.1%,0.002261905,Workers,Trade union density,5,0.001454082,Freedom of association and collective bargaining
Australia,4%,Australia 4.1%,0.002261905,Workers,Weekly hours of work per employee,3,0.001454082,Working time
Australia,4%,Australia 4.1%,0.002261905,Workers,Women in the sectoral labour force,4,0.001454082,Discrimination
Australia,4%,Australia 4.1%,0.002261905,Workers,Workers affected by natural disasters,1,0.001454082,Health and Safety
Canada,2%,Canada 2.3%,0.001269841,Local Community,Drinking water coverage,1,0.001428571,Safe and healthy living conditions
Canada,2%,Canada 2.3%,0.001269841,Local Community,International Migrant Stock,5,0.001428571,Migration
Canada,2%,Canada 2.3%,0.001269841,Local Community,Presence of indigenous population,3,0.001428571,Respect of indigenous rights
Canada,2%,Canada 2.3%,0.001269841,Local Community,Sanitation coverage,3,0.001428571,Safe and healthy living conditions
Canada,2%,Canada 2.3%,0.001269841,Society,Embodied value added total,1,0.000952381,Contribution to economic development
