Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Australia,3%,Australia 2.7%,0.001512661,Local Community,Drinking water coverage,1,0.001701744,Safe and healthy living conditions
Australia,3%,Australia 2.7%,0.001512661,Local Community,International Migrant Stock,5,0.001701744,Migration
Australia,3%,Australia 2.7%,0.001512661,Local Community,Presence of indigenous population,3,0.001701744,Respect of indigenous rights
Australia,3%,Australia 2.7%,0.001512661,Local Community,Sanitation coverage,3,0.001701744,Safe and healthy living conditions
Australia,3%,Australia 2.7%,0.001512661,Society,Embodied value added total,5,0.001134496,Contribution to economic development
Australia,3%,Australia 2.7%,0.001512661,Society,Global Peace Index,1,0.001134496,Health and Safety
Australia,3%,Australia 2.7%,0.001512661,Society,"Health expenditure, total",3,0.001134496,Health and Safety
Australia,3%,Australia 2.7%,0.001512661,Society,"Illiteracy rate, total",3,0.001134496,Contribution to economic development
Australia,3%,Australia 2.7%,0.001512661,Society,Life expectancy at birth,0,0.001134496,Health and Safety
Australia,3%,Australia 2.7%,0.001512661,Society,Public expenditure on education,2,0.001134496,Contribution to economic development
Australia,3%,Australia 2.7%,0.001512661,Value Chain Actors,Public sector corruption,2,0.006806976,Corruption
Australia,3%,Australia 2.7%,0.001512661,Workers,"Children in employment, total",2,0.000972425,Child labour
Australia,3%,Australia 2.7%,0.001512661,Workers,Evidence of violations of laws and employment regulations,3,0.000972425,"Social benefits, legal issues"
Australia,3%,Australia 2.7%,0.001512661,Workers,"Sector average wage, per month",1,0.000972425,Fair Salary
Australia,3%,Australia 2.7%,0.001512661,Workers,Trade union density,5,0.000972425,Freedom of association and collective bargaining
Australia,3%,Australia 2.7%,0.001512661,Workers,Weekly hours of work per employee,4,0.000972425,Working time
Australia,3%,Australia 2.7%,0.001512661,Workers,Women in the sectoral labour force,3,0.000972425,Discrimination
Australia,3%,Australia 2.7%,0.001512661,Workers,Workers affected by natural disasters,1,0.000972425,Health and Safety
Belgium,5%,Belgium 4.8%,0.002657378,Local Community,Drinking water coverage,1,0.00298955,Safe and healthy living conditions
Belgium,5%,Belgium 4.8%,0.002657378,Local Community,International Migrant Stock,5,0.00298955,Migration
Belgium,5%,Belgium 4.8%,0.002657378,Local Community,Presence of indigenous population,3,0.00298955,Respect of indigenous rights
Belgium,5%,Belgium 4.8%,0.002657378,Local Community,Sanitation coverage,3,0.00298955,Safe and healthy living conditions
Belgium,5%,Belgium 4.8%,0.002657378,Society,Embodied value added total,5,0.001993034,Contribution to economic development
Belgium,5%,Belgium 4.8%,0.002657378,Society,Global Peace Index,2,0.001993034,Health and Safety
Belgium,5%,Belgium 4.8%,0.002657378,Society,"Health expenditure, total",2,0.001993034,Health and Safety
Belgium,5%,Belgium 4.8%,0.002657378,Society,"Illiteracy rate, total",1,0.001993034,Contribution to economic development
Belgium,5%,Belgium 4.8%,0.002657378,Society,Life expectancy at birth,0,0.001993034,Health and Safety
Belgium,5%,Belgium 4.8%,0.002657378,Society,Public expenditure on education,1,0.001993034,Contribution to economic development
Belgium,5%,Belgium 4.8%,0.002657378,Value Chain Actors,Public sector corruption,2,0.011958201,Corruption
Belgium,5%,Belgium 4.8%,0.002657378,Workers,"Children in employment, total",3,0.001708314,Child labour
Belgium,5%,Belgium 4.8%,0.002657378,Workers,Evidence of violations of laws and employment regulations,3,0.001708314,"Social benefits, legal issues"
Belgium,5%,Belgium 4.8%,0.002657378,Workers,"Sector average wage, per month",2,0.001708314,Fair Salary
Belgium,5%,Belgium 4.8%,0.002657378,Workers,Trade union density,3,0.001708314,Freedom of association and collective bargaining
Belgium,5%,Belgium 4.8%,0.002657378,Workers,Weekly hours of work per employee,3,0.001708314,Working time
Belgium,5%,Belgium 4.8%,0.002657378,Workers,Women in the sectoral labour force,3,0.001708314,Discrimination
Belgium,5%,Belgium 4.8%,0.002657378,Workers,Workers affected by natural disasters,1,0.001708314,Health and Safety
Canada,4%,Canada 4.5%,0.002483626,Local Community,Drinking water coverage,1,0.00279408,Safe and healthy living conditions
Canada,4%,Canada 4.5%,0.002483626,Local Community,International Migrant Stock,5,0.00279408,Migration
Canada,4%,Canada 4.5%,0.002483626,Local Community,Presence of indigenous population,3,0.00279408,Respect of indigenous rights
Canada,4%,Canada 4.5%,0.002483626,Local Community,Sanitation coverage,3,0.00279408,Safe and healthy living conditions
Canada,4%,Canada 4.5%,0.002483626,Society,Embodied value added total,3,0.00186272,Contribution to economic development
Canada,4%,Canada 4.5%,0.002483626,Society,Global Peace Index,1,0.00186272,Health and Safety
Canada,4%,Canada 4.5%,0.002483626,Society,"Health expenditure, total",2,0.00186272,Health and Safety
Canada,4%,Canada 4.5%,0.002483626,Society,"Illiteracy rate, total",1,0.00186272,Contribution to economic development
Canada,4%,Canada 4.5%,0.002483626,Society,Life expectancy at birth,0,0.00186272,Health and Safety
Canada,4%,Canada 4.5%,0.002483626,Society,Public expenditure on education,2,0.00186272,Contribution to economic development
Canada,4%,Canada 4.5%,0.002483626,Value Chain Actors,Public sector corruption,2,0.011176319,Corruption
Canada,4%,Canada 4.5%,0.002483626,Workers,"Children in employment, total",2,0.001596617,Child labour
Canada,4%,Canada 4.5%,0.002483626,Workers,Evidence of violations of laws and employment regulations,3,0.001596617,"Social benefits, legal issues"
Canada,4%,Canada 4.5%,0.002483626,Workers,"Sector average wage, per month",3,0.001596617,Fair Salary
Canada,4%,Canada 4.5%,0.002483626,Workers,Trade union density,4,0.001596617,Freedom of association and collective bargaining
Canada,4%,Canada 4.5%,0.002483626,Workers,Weekly hours of work per employee,3,0.001596617,Working time
Canada,4%,Canada 4.5%,0.002483626,Workers,Women in the sectoral labour force,3,0.001596617,Discrimination
Canada,4%,Canada 4.5%,0.002483626,Workers,Workers affected by natural disasters,1,0.001596617,Health and Safety
China,63%,China 63.3%,0.035159157,Local Community,Drinking water coverage,2,0.039554051,Safe and healthy living conditions
China,63%,China 63.3%,0.035159157,Local Community,International Migrant Stock,1,0.039554051,Migration
China,63%,China 63.3%,0.035159157,Local Community,Presence of indigenous population,3,0.039554051,Respect of indigenous rights
China,63%,China 63.3%,0.035159157,Local Community,Sanitation coverage,4,0.039554051,Safe and healthy living conditions
China,63%,China 63.3%,0.035159157,Society,Embodied value added total,4,0.026369367,Contribution to economic development
China,63%,China 63.3%,0.035159157,Society,Global Peace Index,3,0.026369367,Health and Safety
China,63%,China 63.3%,0.035159157,Society,"Health expenditure, total",4,0.026369367,Health and Safety
China,63%,China 63.3%,0.035159157,Society,"Illiteracy rate, total",3,0.026369367,Contribution to economic development
China,63%,China 63.3%,0.035159157,Society,Life expectancy at birth,1,0.026369367,Health and Safety
China,63%,China 63.3%,0.035159157,Society,Public expenditure on education,2,0.026369367,Contribution to economic development
China,63%,China 63.3%,0.035159157,Value Chain Actors,Public sector corruption,5,0.158216204,Corruption
China,63%,China 63.3%,0.035159157,Workers,"Children in employment, total",4,0.022602315,Child labour
China,63%,China 63.3%,0.035159157,Workers,Evidence of violations of laws and employment regulations,3,0.022602315,"Social benefits, legal issues"
China,63%,China 63.3%,0.035159157,Workers,"Sector average wage, per month",1,0.022602315,Fair Salary
China,63%,China 63.3%,0.035159157,Workers,Trade union density,3,0.022602315,Freedom of association and collective bargaining
China,63%,China 63.3%,0.035159157,Workers,Weekly hours of work per employee,3,0.022602315,Working time
China,63%,China 63.3%,0.035159157,Workers,Women in the sectoral labour force,1,0.022602315,Discrimination
China,63%,China 63.3%,0.035159157,Workers,Workers affected by natural disasters,4,0.022602315,Health and Safety
Finland,9%,Finland 9.2%,0.005120972,Local Community,Drinking water coverage,2,0.005761094,Safe and healthy living conditions
Finland,9%,Finland 9.2%,0.005120972,Local Community,International Migrant Stock,3,0.005761094,Migration
Finland,9%,Finland 9.2%,0.005120972,Local Community,Presence of indigenous population,3,0.005761094,Respect of indigenous rights
Finland,9%,Finland 9.2%,0.005120972,Local Community,Sanitation coverage,2,0.005761094,Safe and healthy living conditions
Finland,9%,Finland 9.2%,0.005120972,Society,Embodied value added total,5,0.003840729,Contribution to economic development
Finland,9%,Finland 9.2%,0.005120972,Society,Global Peace Index,2,0.003840729,Health and Safety
Finland,9%,Finland 9.2%,0.005120972,Society,"Health expenditure, total",3,0.003840729,Health and Safety
Finland,9%,Finland 9.2%,0.005120972,Society,"Illiteracy rate, total",1,0.003840729,Contribution to economic development
Finland,9%,Finland 9.2%,0.005120972,Society,Life expectancy at birth,0,0.003840729,Health and Safety
Finland,9%,Finland 9.2%,0.005120972,Society,Public expenditure on education,1,0.003840729,Contribution to economic development
Finland,9%,Finland 9.2%,0.005120972,Value Chain Actors,Public sector corruption,1,0.023044374,Corruption
Finland,9%,Finland 9.2%,0.005120972,Workers,"Children in employment, total",2,0.003292053,Child labour
Finland,9%,Finland 9.2%,0.005120972,Workers,Evidence of violations of laws and employment regulations,3,0.003292053,"Social benefits, legal issues"
Finland,9%,Finland 9.2%,0.005120972,Workers,"Sector average wage, per month",2,0.003292053,Fair Salary
Finland,9%,Finland 9.2%,0.005120972,Workers,Trade union density,2,0.003292053,Freedom of association and collective bargaining
Finland,9%,Finland 9.2%,0.005120972,Workers,Weekly hours of work per employee,3,0.003292053,Working time
Finland,9%,Finland 9.2%,0.005120972,Workers,Women in the sectoral labour force,3,0.003292053,Discrimination
Finland,9%,Finland 9.2%,0.005120972,Workers,Workers affected by natural disasters,1,0.003292053,Health and Safety
Japan,4%,Japan 4.3%,0.002412082,Local Community,Drinking water coverage,1,0.002713592,Safe and healthy living conditions
Japan,4%,Japan 4.3%,0.002412082,Local Community,International Migrant Stock,1,0.002713592,Migration
