Country,Mining share,Label,Area,Stakeholder,Indicator,,Value,Area if each stakeholder has the same weight,Subcategory
Autralia,4%,Autralia 4.4%,0.002416667,Local Community,Drinking water coverage,,1,0.00271875,Safe and healthy living conditions
Autralia,4%,Autralia 4.4%,0.002416667,Local Community,International Migrant Stock,,5,0.00271875,Migration
Autralia,4%,Autralia 4.4%,0.002416667,Local Community,Presence of indigenous population,,3,0.00271875,Respect of indigenous rights
Autralia,4%,Autralia 4.4%,0.002416667,Local Community,Sanitation coverage,,3,0.00271875,Safe and healthy living conditions
Autralia,4%,Autralia 4.4%,0.002416667,Society,Embodied value added total,,5,0.0018125,Contribution to economic development
Autralia,4%,Autralia 4.4%,0.002416667,Society,Global Peace Index,,1,0.0018125,Health and Safety
Autralia,4%,Autralia 4.4%,0.002416667,Society,"Health expenditure, total",,3,0.0018125,Health and Safety
Autralia,4%,Autralia 4.4%,0.002416667,Society,"Illiteracy rate, total",,3,0.0018125,Contribution to economic development
Autralia,4%,Autralia 4.4%,0.002416667,Society,Life expectancy at birth,,0,0.0018125,Health and Safety
Autralia,4%,Autralia 4.4%,0.002416667,Society,Public expenditure on education,,2,0.0018125,Contribution to economic development
Autralia,4%,Autralia 4.4%,0.002416667,Value Chain Actors,Public sector corruption,,2,0.010875,Corruption
Autralia,4%,Autralia 4.4%,0.002416667,Workers,"Children in employment, total",,2,0.001553571,Child labour
Autralia,4%,Autralia 4.4%,0.002416667,Workers,Evidence of violations of laws and employment regulations,,3,0.001553571,"Social benefits, legal issues"
Autralia,4%,Autralia 4.4%,0.002416667,Workers,"Sector average wage, per month",,1,0.001553571,Fair Salary
Autralia,4%,Autralia 4.4%,0.002416667,Workers,Trade union density,,5,0.001553571,Freedom of association and collective bargaining
Autralia,4%,Autralia 4.4%,0.002416667,Workers,Weekly hours of work per employee,,4,0.001553571,Working time
Autralia,4%,Autralia 4.4%,0.002416667,Workers,Women in the sectoral labour force,,4,0.001553571,Discrimination
Autralia,4%,Autralia 4.4%,0.002416667,Workers,Workers affected by natural disasters,,1,0.001553571,Health and Safety
Chile,29%,Chile 28.5%,0.015833333,Local Community,Drinking water coverage,,1,0.0178125,Safe and healthy living conditions
Chile,29%,Chile 28.5%,0.015833333,Local Community,International Migrant Stock,,2,0.0178125,Migration
Chile,29%,Chile 28.5%,0.015833333,Local Community,Presence of indigenous population,,3,0.0178125,Respect of indigenous rights
Chile,29%,Chile 28.5%,0.015833333,Local Community,Sanitation coverage,,3,0.0178125,Safe and healthy living conditions
Chile,29%,Chile 28.5%,0.015833333,Society,Embodied value added total,,5,0.011875,Contribution to economic development
Chile,29%,Chile 28.5%,0.015833333,Society,Global Peace Index,,2,0.011875,Health and Safety
Chile,29%,Chile 28.5%,0.015833333,Society,"Health expenditure, total",,3,0.011875,Health and Safety
Chile,29%,Chile 28.5%,0.015833333,Society,"Illiteracy rate, total",,2,0.011875,Contribution to economic development
Chile,29%,Chile 28.5%,0.015833333,Society,Life expectancy at birth,,0,0.011875,Health and Safety
Chile,29%,Chile 28.5%,0.015833333,Society,Public expenditure on education,,2,0.011875,Contribution to economic development
Chile,29%,Chile 28.5%,0.015833333,Value Chain Actors,Public sector corruption,,3,0.07125,Corruption
Chile,29%,Chile 28.5%,0.015833333,Workers,"Children in employment, total",,2,0.010178571,Child labour
Chile,29%,Chile 28.5%,0.015833333,Workers,Evidence of violations of laws and employment regulations,,3,0.010178571,"Social benefits, legal issues"
Chile,29%,Chile 28.5%,0.015833333,Workers,"Sector average wage, per month",,3,0.010178571,Fair Salary
Chile,29%,Chile 28.5%,0.015833333,Workers,Trade union density,,5,0.010178571,Freedom of association and collective bargaining
Chile,29%,Chile 28.5%,0.015833333,Workers,Weekly hours of work per employee,,3,0.010178571,Working time
Chile,29%,Chile 28.5%,0.015833333,Workers,Women in the sectoral labour force,,2,0.010178571,Discrimination
Chile,29%,Chile 28.5%,0.015833333,Workers,Workers affected by natural disasters,,4,0.010178571,Health and Safety
China,9%,China 8.5%,0.004722222,Local Community,Drinking water coverage,,2,0.0053125,Safe and healthy living conditions
China,9%,China 8.5%,0.004722222,Local Community,International Migrant Stock,,1,0.0053125,Migration
China,9%,China 8.5%,0.004722222,Local Community,Presence of indigenous population,,3,0.0053125,Respect of indigenous rights
China,9%,China 8.5%,0.004722222,Local Community,Sanitation coverage,,5,0.0053125,Safe and healthy living conditions
China,9%,China 8.5%,0.004722222,Society,Embodied value added total,,2,0.003541667,Contribution to economic development
China,9%,China 8.5%,0.004722222,Society,Global Peace Index,,3,0.003541667,Health and Safety
China,9%,China 8.5%,0.004722222,Society,"Health expenditure, total",,5,0.003541667,Health and Safety
China,9%,China 8.5%,0.004722222,Society,"Illiteracy rate, total",,3,0.003541667,Contribution to economic development
China,9%,China 8.5%,0.004722222,Society,Life expectancy at birth,,1,0.003541667,Health and Safety
China,9%,China 8.5%,0.004722222,Society,Public expenditure on education,,2,0.003541667,Contribution to economic development
China,9%,China 8.5%,0.004722222,Value Chain Actors,Public sector corruption,,4,0.02125,Corruption
China,9%,China 8.5%,0.004722222,Workers,"Children in employment, total",,5,0.003035714,Child labour
China,9%,China 8.5%,0.004722222,Workers,Evidence of violations of laws and employment regulations,,3,0.003035714,"Social benefits, legal issues"
China,9%,China 8.5%,0.004722222,Workers,"Sector average wage, per month",,1,0.003035714,Fair Salary
China,9%,China 8.5%,0.004722222,Workers,Trade union density,,3,0.003035714,Freedom of association and collective bargaining
China,9%,China 8.5%,0.004722222,Workers,Weekly hours of work per employee,,3,0.003035714,Working time
China,9%,China 8.5%,0.004722222,Workers,Women in the sectoral labour force,,1,0.003035714,Discrimination
China,9%,China 8.5%,0.004722222,Workers,Workers affected by natural disasters,,5,0.003035714,Health and Safety
DRC,7%,DRC 6.5%,0.003611111,Local Community,Drinking water coverage,,4,0.0040625,Safe and healthy living conditions
DRC,7%,DRC 6.5%,0.003611111,Local Community,International Migrant Stock,,1,0.0040625,Migration
DRC,7%,DRC 6.5%,0.003611111,Local Community,Presence of indigenous population,,3,0.0040625,Respect of indigenous rights
DRC,7%,DRC 6.5%,0.003611111,Local Community,Sanitation coverage,,5,0.0040625,Safe and healthy living conditions
DRC,7%,DRC 6.5%,0.003611111,Society,Embodied value added total,,3,0.002708333,Contribution to economic development
DRC,7%,DRC 6.5%,0.003611111,Society,Global Peace Index,,5,0.002708333,Health and Safety
DRC,7%,DRC 6.5%,0.003611111,Society,"Health expenditure, total",,4,0.002708333,Health and Safety
DRC,7%,DRC 6.5%,0.003611111,Society,"Illiteracy rate, total",,5,0.002708333,Contribution to economic development
