Country,Refining share,Label,Area,Stakeholder,Indicator,,Value,Area if each stakeholder has the same weight,Subcategory
Australia,0.0177058,Australia 1.8%,0.000983656,Local Community,Drinking water coverage,,1,0.001106612,Safe and healthy living conditions
Australia,0.0177058,Australia 1.8%,0.000983656,Local Community,International Migrant Stock,,5,0.001106612,Migration
Australia,0.0177058,Australia 1.8%,0.000983656,Local Community,Presence of indigenous population,,3,0.001106612,Respect of indigenous rights
Australia,0.0177058,Australia 1.8%,0.000983656,Local Community,Sanitation coverage,,3,0.001106612,Safe and healthy living conditions
Australia,0.0177058,Australia 1.8%,0.000983656,Society,Embodied value added total,,5,0.000737742,Contribution to economic development
Australia,0.0177058,Australia 1.8%,0.000983656,Society,Global Peace Index,,1,0.000737742,Health and Safety
Australia,0.0177058,Australia 1.8%,0.000983656,Society,"Health expenditure, total",,3,0.000737742,Health and Safety
Australia,0.0177058,Australia 1.8%,0.000983656,Society,"Illiteracy rate, total",,3,0.000737742,Contribution to economic development
Australia,0.0177058,Australia 1.8%,0.000983656,Society,Life expectancy at birth,,0,0.000737742,Health and Safety
Australia,0.0177058,Australia 1.8%,0.000983656,Society,Public expenditure on education,,2,0.000737742,Contribution to economic development
Australia,0.0177058,Australia 1.8%,0.000983656,Value Chain Actors,Public sector corruption,,2,0.00442645,Corruption
Australia,0.0177058,Australia 1.8%,0.000983656,Workers,"Children in employment, total",,2,0.00063235,Child labour
Australia,0.0177058,Australia 1.8%,0.000983656,Workers,Evidence of violations of laws and employment regulations,,3,0.00063235,"Social benefits, legal issues"
Australia,0.0177058,Australia 1.8%,0.000983656,Workers,"Sector average wage, per month",,1,0.00063235,Fair Salary
Australia,0.0177058,Australia 1.8%,0.000983656,Workers,Trade union density,,5,0.00063235,Freedom of association and collective bargaining
Australia,0.0177058,Australia 1.8%,0.000983656,Workers,Weekly hours of work per employee,,4,0.00063235,Working time
Australia,0.0177058,Australia 1.8%,0.000983656,Workers,Women in the sectoral labour force,,4,0.00063235,Discrimination
Australia,0.0177058,Australia 1.8%,0.000983656,Workers,Workers affected by natural disasters,,1,0.00063235,Health and Safety
Chile,0.094381519,Chile 9.4%,0.005243418,Local Community,Drinking water coverage,,1,0.005898845,Safe and healthy living conditions
Chile,0.094381519,Chile 9.4%,0.005243418,Local Community,International Migrant Stock,,2,0.005898845,Migration
Chile,0.094381519,Chile 9.4%,0.005243418,Local Community,Presence of indigenous population,,3,0.005898845,Respect of indigenous rights
Chile,0.094381519,Chile 9.4%,0.005243418,Local Community,Sanitation coverage,,3,0.005898845,Safe and healthy living conditions
Chile,0.094381519,Chile 9.4%,0.005243418,Society,Embodied value added total,,5,0.003932563,Contribution to economic development
Chile,0.094381519,Chile 9.4%,0.005243418,Society,Global Peace Index,,2,0.003932563,Health and Safety
Chile,0.094381519,Chile 9.4%,0.005243418,Society,"Health expenditure, total",,3,0.003932563,Health and Safety
Chile,0.094381519,Chile 9.4%,0.005243418,Society,"Illiteracy rate, total",,2,0.003932563,Contribution to economic development
Chile,0.094381519,Chile 9.4%,0.005243418,Society,Life expectancy at birth,,0,0.003932563,Health and Safety
Chile,0.094381519,Chile 9.4%,0.005243418,Society,Public expenditure on education,,2,0.003932563,Contribution to economic development
Chile,0.094381519,Chile 9.4%,0.005243418,Value Chain Actors,Public sector corruption,,3,0.02359538,Corruption
Chile,0.094381519,Chile 9.4%,0.005243418,Workers,"Children in employment, total",,2,0.003370769,Child labour
Chile,0.094381519,Chile 9.4%,0.005243418,Workers,Evidence of violations of laws and employment regulations,,3,0.003370769,"Social benefits, legal issues"
Chile,0.094381519,Chile 9.4%,0.005243418,Workers,"Sector average wage, per month",,3,0.003370769,Fair Salary
Chile,0.094381519,Chile 9.4%,0.005243418,Workers,Trade union density,,5,0.003370769,Freedom of association and collective bargaining
Chile,0.094381519,Chile 9.4%,0.005243418,Workers,Weekly hours of work per employee,,3,0.003370769,Working time
Chile,0.094381519,Chile 9.4%,0.005243418,Workers,Women in the sectoral labour force,,2,0.003370769,Discrimination
Chile,0.094381519,Chile 9.4%,0.005243418,Workers,Workers affected by natural disasters,,4,0.003370769,Health and Safety
China,0.406968069,China 40.7%,0.022609337,Local Community,Drinking water coverage,,2,0.025435504,Safe and healthy living conditions
China,0.406968069,China 40.7%,0.022609337,Local Community,International Migrant Stock,,1,0.025435504,Migration
China,0.406968069,China 40.7%,0.022609337,Local Community,Presence of indigenous population,,3,0.025435504,Respect of indigenous rights
China,0.406968069,China 40.7%,0.022609337,Local Community,Sanitation coverage,,4,0.025435504,Safe and healthy living conditions
China,0.406968069,China 40.7%,0.022609337,Society,Embodied value added total,,4,0.016957003,Contribution to economic development
China,0.406968069,China 40.7%,0.022609337,Society,Global Peace Index,,3,0.016957003,Health and Safety
China,0.406968069,China 40.7%,0.022609337,Society,"Health expenditure, total",,4,0.016957003,Health and Safety
China,0.406968069,China 40.7%,0.022609337,Society,"Illiteracy rate, total",,3,0.016957003,Contribution to economic development
China,0.406968069,China 40.7%,0.022609337,Society,Life expectancy at birth,,1,0.016957003,Health and Safety
China,0.406968069,China 40.7%,0.022609337,Society,Public expenditure on education,,2,0.016957003,Contribution to economic development
China,0.406968069,China 40.7%,0.022609337,Value Chain Actors,Public sector corruption,,5,0.101742017,Corruption
China,0.406968069,China 40.7%,0.022609337,Workers,"Children in employment, total",,4,0.014534574,Child labour
China,0.406968069,China 40.7%,0.022609337,Workers,Evidence of violations of laws and employment regulations,,3,0.014534574,"Social benefits, legal issues"
China,0.406968069,China 40.7%,0.022609337,Workers,"Sector average wage, per month",,1,0.014534574,Fair Salary
China,0.406968069,China 40.7%,0.022609337,Workers,Trade union density,,3,0.014534574,Freedom of association and collective bargaining
China,0.406968069,China 40.7%,0.022609337,Workers,Weekly hours of work per employee,,2,0.014534574,Working time
China,0.406968069,China 40.7%,0.022609337,Workers,Women in the sectoral labour force,,1,0.014534574,Discrimination
China,0.406968069,China 40.7%,0.022609337,Workers,Workers affected by natural disasters,,4,0.014534574,Health and Safety
DRC,0.048258609,DRC 4.8%,0.002681034,Local Community,Drinking water coverage,,4,0.003016163,Safe and healthy living conditions
DRC,0.048258609,DRC 4.8%,0.002681034,Local Community,International Migrant Stock,,1,0.003016163,Migration
DRC,0.048258609,DRC 4.8%,0.002681034,Local Community,Presence of indigenous population,,3,0.003016163,Respect of indigenous rights
DRC,0.048258609,DRC 4.8%,0.002681034,Local Community,Sanitation coverage,,5,0.003016163,Safe and healthy living conditions
DRC,0.048258609,DRC 4.8%,0.002681034,Society,Embodied value added total,,4,0.002010775,Contribution to economic development
DRC,0.048258609,DRC 4.8%,0.002681034,Society,Global Peace Index,,5,0.002010775,Health and Safety
DRC,0.048258609,DRC 4.8%,0.002681034,Society,"Health expenditure, total",,4,0.002010775,Health and Safety
DRC,0.048258609,DRC 4.8%,0.002681034,Society,"Illiteracy rate, total",,5,0.002010775,Contribution to economic development
DRC,0.048258609,DRC 4.8%,0.002681034,Society,Life expectancy at birth,,5,0.002010775,Health and Safety
DRC,0.048258609,DRC 4.8%,0.002681034,Society,Public expenditure on education,,4,0.002010775,Contribution to economic development
DRC,0.048258609,DRC 4.8%,0.002681034,Value Chain Actors,Public sector corruption,,5,0.012064652,Corruption
DRC,0.048258609,DRC 4.8%,0.002681034,Workers,"Children in employment, total",,5,0.001723522,Child labour
DRC,0.048258609,DRC 4.8%,0.002681034,Workers,Evidence of violations of laws and employment regulations,,4,0.001723522,"Social benefits, legal issues"
DRC,0.048258609,DRC 4.8%,0.002681034,Workers,"Sector average wage, per month",,3,0.001723522,Fair Salary
DRC,0.048258609,DRC 4.8%,0.002681034,Workers,Trade union density,,5,0.001723522,Freedom of association and collective bargaining
DRC,0.048258609,DRC 4.8%,0.002681034,Workers,Weekly hours of work per employee,,3,0.001723522,Working time
DRC,0.048258609,DRC 4.8%,0.002681034,Workers,Women in the sectoral labour force,,1,0.001723522,Discrimination
DRC,0.048258609,DRC 4.8%,0.002681034,Workers,Workers affected by natural disasters,,1,0.001723522,Health and Safety
Germany,0.026191901,Germany 2.6%,0.001455106,Local Community,Drinking water coverage,,1,0.001636994,Safe and healthy living conditions
Germany,0.026191901,Germany 2.6%,0.001455106,Local Community,International Migrant Stock,,4,0.001636994,Migration
Germany,0.026191901,Germany 2.6%,0.001455106,Local Community,Presence of indigenous population,,0,0.001636994,Respect of indigenous rights
Germany,0.026191901,Germany 2.6%,0.001455106,Local Community,Sanitation coverage,,2,0.001636994,Safe and healthy living conditions
Germany,0.026191901,Germany 2.6%,0.001455106,Local Community,Embodied value added total,,4,0.001636994,Contribution to economic development
Germany,0.026191901,Germany 2.6%,0.001455106,Society,Global Peace Index,,2,0.001091329,Health and Safety
Germany,0.026191901,Germany 2.6%,0.001455106,Society,"Health expenditure, total",,2,0.001091329,Health and Safety
Germany,0.026191901,Germany 2.6%,0.001455106,Society,"Illiteracy rate, total",,1,0.001091329,Contribution to economic development
Germany,0.026191901,Germany 2.6%,0.001455106,Society,Life expectancy at birth,,0,0.001091329,Health and Safety
Germany,0.026191901,Germany 2.6%,0.001455106,Society,Public expenditure on education,,2,0.001091329,Contribution to economic development
Germany,0.026191901,Germany 2.6%,0.001455106,Society,Public sector corruption,,2,0.001091329,Corruption
Germany,0.026191901,Germany 2.6%,0.001455106,Value Chain Actors,"Children in employment, total",,2,0.006547975,Child labour
Germany,0.026191901,Germany 2.6%,0.001455106,Workers,Evidence of violations of laws and employment regulations,,2,0.000935425,"Social benefits, legal issues"
Germany,0.026191901,Germany 2.6%,0.001455106,Workers,"Sector average wage, per month",,1,0.000935425,Fair Salary
Germany,0.026191901,Germany 2.6%,0.001455106,Workers,Trade union density,,5,0.000935425,Freedom of association and collective bargaining
Germany,0.026191901,Germany 2.6%,0.001455106,Workers,Weekly hours of work per employee,,3,0.000935425,Working time
Germany,0.026191901,Germany 2.6%,0.001455106,Workers,Women in the sectoral labour force,,3,0.000935425,Discrimination
Germany,0.026191901,Germany 2.6%,0.001455106,Workers,Workers affected by natural disasters,,1,0.000935425,Health and Safety
Japan,0.06219834,Japan 6.2%,0.003455463,Local Community,Drinking water coverage,,1,0.003887396,Safe and healthy living conditions
Japan,0.06219834,Japan 6.2%,0.003455463,Local Community,International Migrant Stock,,1,0.003887396,Migration
Japan,0.06219834,Japan 6.2%,0.003455463,Local Community,Presence of indigenous population,,3,0.003887396,Respect of indigenous rights
Japan,0.06219834,Japan 6.2%,0.003455463,Local Community,Sanitation coverage,,1,0.003887396,Safe and healthy living conditions
Japan,0.06219834,Japan 6.2%,0.003455463,Local Community,Embodied value added total,,5,0.003887396,Contribution to economic development
Japan,0.06219834,Japan 6.2%,0.003455463,Society,Global Peace Index,,1,0.002591598,Health and Safety
Japan,0.06219834,Japan 6.2%,0.003455463,Society,"Health expenditure, total",,2,0.002591598,Health and Safety
Japan,0.06219834,Japan 6.2%,0.003455463,Society,"Illiteracy rate, total",,2,0.002591598,Contribution to economic development
Japan,0.06219834,Japan 6.2%,0.003455463,Society,Life expectancy at birth,,0,0.002591598,Health and Safety
Japan,0.06219834,Japan 6.2%,0.003455463,Society,Public expenditure on education,,3,0.002591598,Contribution to economic development
Japan,0.06219834,Japan 6.2%,0.003455463,Society,Public sector corruption,,3,0.002591598,Corruption
Japan,0.06219834,Japan 6.2%,0.003455463,Value Chain Actors,"Children in employment, total",,2,0.015549585,Child labour
Japan,0.06219834,Japan 6.2%,0.003455463,Workers,Evidence of violations of laws and employment regulations,,4,0.002221369,"Social benefits, legal issues"
Japan,0.06219834,Japan 6.2%,0.003455463,Workers,"Sector average wage, per month",,1,0.002221369,Fair Salary
Japan,0.06219834,Japan 6.2%,0.003455463,Workers,Trade union density,,5,0.002221369,Freedom of association and collective bargaining
Japan,0.06219834,Japan 6.2%,0.003455463,Workers,Weekly hours of work per employee,,4,0.002221369,Working time
Japan,0.06219834,Japan 6.2%,0.003455463,Workers,Women in the sectoral labour force,,2,0.002221369,Discrimination
Japan,0.06219834,Japan 6.2%,0.003455463,Workers,Workers affected by natural disasters,,1,0.002221369,Health and Safety
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Local Community,Drinking water coverage,,2,0.001240057,Safe and healthy living conditions
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Local Community,International Migrant Stock,,5,0.001240057,Migration
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Local Community,Presence of indigenous population,,0,0.001240057,Respect of indigenous rights
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Local Community,Sanitation coverage,,4,0.001240057,Safe and healthy living conditions
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Local Community,Embodied value added total,,3,0.001240057,Contribution to economic development
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Society,Global Peace Index,,2,0.000826705,Health and Safety
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Society,"Health expenditure, total",,4,0.000826705,Health and Safety
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Society,"Illiteracy rate, total",,1,0.000826705,Contribution to economic development
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Society,Life expectancy at birth,,2,0.000826705,Health and Safety
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Society,Public expenditure on education,,3,0.000826705,Contribution to economic development
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Society,Public sector corruption,,5,0.000826705,Corruption
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Value Chain Actors,"Children in employment, total",,2,0.004960229,Child labour
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Workers,Evidence of violations of laws and employment regulations,,3,0.000708604,"Social benefits, legal issues"
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Workers,"Sector average wage, per month",,2,0.000708604,Fair Salary
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Workers,Trade union density,,4,0.000708604,Freedom of association and collective bargaining
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Workers,Weekly hours of work per employee,,2,0.000708604,Working time
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Workers,Women in the sectoral labour force,,3,0.000708604,Discrimination
Kazakhstan,0.019840916,Kazakhstan 2%,0.001102273,Workers,Workers affected by natural disasters,,1,0.000708604,Health and Safety
Korea,0.027410613,Korea 2.7%,0.001102273,Local Community,Drinking water coverage,,1,0.001713163,Safe and healthy living conditions
Korea,0.027410613,Korea 2.7%,0.001102273,Local Community,International Migrant Stock,,2,0.001713163,Migration
Korea,0.027410613,Korea 2.7%,0.001102273,Local Community,Presence of indigenous population,,0,0.001713163,Respect of indigenous rights
Korea,0.027410613,Korea 2.7%,0.001102273,Local Community,Sanitation coverage,,4,0.001713163,Safe and healthy living conditions
Korea,0.027410613,Korea 2.7%,0.001102273,Local Community,Embodied value added total,,5,0.001713163,Contribution to economic development
Korea,0.027410613,Korea 2.7%,0.001102273,Society,Global Peace Index,,2,0.001142109,Health and Safety
Korea,0.027410613,Korea 2.7%,0.001102273,Society,"Health expenditure, total",,3,0.001142109,Health and Safety
Korea,0.027410613,Korea 2.7%,0.001102273,Society,"Illiteracy rate, total",,3,0.001142109,Contribution to economic development
Korea,0.027410613,Korea 2.7%,0.001102273,Society,Life expectancy at birth,,0,0.001142109,Health and Safety
