Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
China,0.554778925,China 55.5%,0.030821051,Local Community,Drinking water coverage,2,0.034673683,Safe and healthy living conditions
China,0.554778925,China 55.5%,0.030821051,Local Community,International Migrant Stock,1,0.034673683,Migration
China,0.554778925,China 55.5%,0.030821051,Local Community,Presence of indigenous population,3,0.034673683,Respect of indigenous rights
China,0.554778925,China 55.5%,0.030821051,Local Community,Sanitation coverage,4,0.034673683,Safe and healthy living conditions
China,0.554778925,China 55.5%,0.030821051,Society,Embodied value added total,4,0.023115789,Contribution to economic development
China,0.554778925,China 55.5%,0.030821051,Society,Global Peace Index,3,0.023115789,Health and Safety
China,0.554778925,China 55.5%,0.030821051,Society,"Health expenditure, total",4,0.023115789,Health and Safety
China,0.554778925,China 55.5%,0.030821051,Society,"Illiteracy rate, total",3,0.023115789,Contribution to economic development
China,0.554778925,China 55.5%,0.030821051,Society,Life expectancy at birth,1,0.023115789,Health and Safety
China,0.554778925,China 55.5%,0.030821051,Society,Public expenditure on education,2,0.023115789,Contribution to economic development
China,0.554778925,China 55.5%,0.030821051,Value Chain Actors,Public sector corruption,5,0.138694731,Corruption
China,0.554778925,China 55.5%,0.030821051,Workers,"Children in employment, total",4,0.019813533,Child labour
China,0.554778925,China 55.5%,0.030821051,Workers,Evidence of violations of laws and employment regulations,3,0.019813533,"Social benefits, legal issues"
China,0.554778925,China 55.5%,0.030821051,Workers,"Sector average wage, per month",1,0.019813533,Fair Salary
China,0.554778925,China 55.5%,0.030821051,Workers,Trade union density,3,0.019813533,Freedom of association and collective bargaining
China,0.554778925,China 55.5%,0.030821051,Workers,Weekly hours of work per employee,3,0.019813533,Working time
China,0.554778925,China 55.5%,0.030821051,Workers,Women in the sectoral labour force,1,0.019813533,Discrimination
China,0.554778925,China 55.5%,0.030821051,Workers,Workers affected by natural disasters,4,0.019813533,Health and Safety
Germany,0.051703655,Germany 5.2%,0.002872425,Local Community,Drinking water coverage,1,0.003231478,Safe and healthy living conditions
Germany,0.051703655,Germany 5.2%,0.002872425,Local Community,International Migrant Stock,4,0.003231478,Migration
Germany,0.051703655,Germany 5.2%,0.002872425,Local Community,Presence of indigenous population,0,0.003231478,Respect of indigenous rights
Germany,0.051703655,Germany 5.2%,0.002872425,Local Community,Sanitation coverage,2,0.003231478,Safe and healthy living conditions
Germany,0.051703655,Germany 5.2%,0.002872425,Society,Embodied value added total,4,0.002154319,Contribution to economic development
Germany,0.051703655,Germany 5.2%,0.002872425,Society,Global Peace Index,2,0.002154319,Health and Safety
Germany,0.051703655,Germany 5.2%,0.002872425,Society,"Health expenditure, total",2,0.002154319,Health and Safety
Germany,0.051703655,Germany 5.2%,0.002872425,Society,"Illiteracy rate, total",1,0.002154319,Contribution to economic development
Germany,0.051703655,Germany 5.2%,0.002872425,Society,Life expectancy at birth,0,0.002154319,Health and Safety
Germany,0.051703655,Germany 5.2%,0.002872425,Society,Public expenditure on education,2,0.002154319,Contribution to economic development
Germany,0.051703655,Germany 5.2%,0.002872425,Value Chain Actors,Public sector corruption,2,0.012925914,Corruption
Germany,0.051703655,Germany 5.2%,0.002872425,Workers,"Children in employment, total",2,0.001846559,Child labour
Germany,0.051703655,Germany 5.2%,0.002872425,Workers,Evidence of violations of laws and employment regulations,3,0.001846559,"Social benefits, legal issues"
Germany,0.051703655,Germany 5.2%,0.002872425,Workers,"Sector average wage, per month",1,0.001846559,Fair Salary
Germany,0.051703655,Germany 5.2%,0.002872425,Workers,Trade union density,5,0.001846559,Freedom of association and collective bargaining
Germany,0.051703655,Germany 5.2%,0.002872425,Workers,Weekly hours of work per employee,3,0.001846559,Working time
Germany,0.051703655,Germany 5.2%,0.002872425,Workers,Women in the sectoral labour force,3,0.001846559,Discrimination
Germany,0.051703655,Germany 5.2%,0.002872425,Workers,Workers affected by natural disasters,1,0.001846559,Health and Safety
USA,0.040513192,USA 4.1%,0.002250733,Local Community,Drinking water coverage,1,0.002532074,Safe and healthy living conditions
USA,0.040513192,USA 4.1%,0.002250733,Local Community,International Migrant Stock,4,0.002532074,Migration
USA,0.040513192,USA 4.1%,0.002250733,Local Community,Presence of indigenous population,0,0.002532074,Respect of indigenous rights
