Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Brazil,0.086363636,Brazil 8.6%,0.00479798,Local Community,Drinking water coverage,1,0.005397727,Safe and healthy living conditions
Brazil,0.086363636,Brazil 8.6%,0.00479798,Local Community,International Migrant Stock,1,0.005397727,Migration
Brazil,0.086363636,Brazil 8.6%,0.00479798,Local Community,Presence of indigenous population,3,0.005397727,Respect of indigenous rights
Brazil,0.086363636,Brazil 8.6%,0.00479798,Local Community,Sanitation coverage,4,0.005397727,Safe and healthy living conditions
Brazil,0.086363636,Brazil 8.6%,0.00479798,Society,Embodied value added total,5,0.003598485,Contribution to economic development
Brazil,0.086363636,Brazil 8.6%,0.00479798,Society,Global Peace Index,3,0.003598485,Health and Safety
Brazil,0.086363636,Brazil 8.6%,0.00479798,Society,"Health expenditure, total",2,0.003598485,Health and Safety
Brazil,0.086363636,Brazil 8.6%,0.00479798,Society,"Illiteracy rate, total",3,0.003598485,Contribution to economic development
Brazil,0.086363636,Brazil 8.6%,0.00479798,Society,Life expectancy at birth,2,0.003598485,Health and Safety
Brazil,0.086363636,Brazil 8.6%,0.00479798,Society,Public expenditure on education,1,0.003598485,Contribution to economic development
Brazil,0.086363636,Brazil 8.6%,0.00479798,Value Chain Actors,Public sector corruption,5,0.021590909,Corruption
Brazil,0.086363636,Brazil 8.6%,0.00479798,Workers,"Children in employment, total",2,0.003084416,Child labour
Brazil,0.086363636,Brazil 8.6%,0.00479798,Workers,Evidence of violations of laws and employment regulations,3,0.003084416,"Social benefits, legal issues"
Brazil,0.086363636,Brazil 8.6%,0.00479798,Workers,"Sector average wage, per month",3,0.003084416,Fair Salary
Brazil,0.086363636,Brazil 8.6%,0.00479798,Workers,Trade union density,5,0.003084416,Freedom of association and collective bargaining
Brazil,0.086363636,Brazil 8.6%,0.00479798,Workers,Weekly hours of work per employee,2,0.003084416,Working time
Brazil,0.086363636,Brazil 8.6%,0.00479798,Workers,Women in the sectoral labour force,1,0.003084416,Discrimination
Brazil,0.086363636,Brazil 8.6%,0.00479798,Workers,Workers affected by natural disasters,1,0.003084416,Health and Safety
China,0.590909091,China 59.1%,0.032828283,Local Community,Drinking water coverage,2,0.036931818,Safe and healthy living conditions
China,0.590909091,China 59.1%,0.032828283,Local Community,International Migrant Stock,1,0.036931818,Migration
China,0.590909091,China 59.1%,0.032828283,Local Community,Presence of indigenous population,3,0.036931818,Respect of indigenous rights
China,0.590909091,China 59.1%,0.032828283,Local Community,Sanitation coverage,4,0.036931818,Safe and healthy living conditions
China,0.590909091,China 59.1%,0.032828283,Society,Embodied value added total,2,0.024621212,Contribution to economic development
China,0.590909091,China 59.1%,0.032828283,Society,Global Peace Index,3,0.024621212,Health and Safety
China,0.590909091,China 59.1%,0.032828283,Society,"Health expenditure, total",4,0.024621212,Health and Safety
China,0.590909091,China 59.1%,0.032828283,Society,"Illiteracy rate, total",3,0.024621212,Contribution to economic development
