Material,Material share,Country,Mining share,Label,Area,Stakeholder,Indicator,Value
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000682703,Local Community,Drinking water coverage,1
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000682703,Local Community,International Migrant Stock,5
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000682703,Local Community,Presence of indigenous population,3
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000682703,Local Community,Sanitation coverage,3
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000455135,Society,Embodied value added total,5
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000455135,Society,Global Peace Index,1
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000455135,Society,"Health expenditure, total",3
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000455135,Society,"Illiteracy rate, total",3
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000455135,Society,Life expectancy at birth,0
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000455135,Society,Public expenditure on education,2
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.002730811,Value Chain Actors,Public sector corruption,2
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000390116,Workers,"Children in employment, total",2
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000390116,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000390116,Workers,"Sector average wage, per month",1
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000390116,Workers,Trade union density,5
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000390116,Workers,Weekly hours of work per employee,3
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000390116,Workers,Women in the sectoral labour force,4
Nickel,0.160635923,Australia,0.068,Australia 6.8%,0.000390116,Workers,Workers affected by natural disasters,1
Nickel,0.160635923,Canada,0.06,Canada 6%,0.000602385,Local Community,Drinking water coverage,1
Nickel,0.160635923,Canada,0.06,Canada 6%,0.000602385,Local Community,International Migrant Stock,5
Nickel,0.160635923,Canada,0.06,Canada 6%,0.000602385,Local Community,Presence of indigenous population,3
Nickel,0.160635923,Canada,0.06,Canada 6%,0.000602385,Local Community,Sanitation coverage,3
Nickel,0.160635923,Canada,0.06,Canada 6%,0.00040159,Society,Embodied value added total,1
Nickel,0.160635923,Canada,0.06,Canada 6%,0.00040159,Society,Global Peace Index,1
Nickel,0.160635923,Canada,0.06,Canada 6%,0.00040159,Society,"Health expenditure, total",2
Nickel,0.160635923,Canada,0.06,Canada 6%,0.00040159,Society,"Illiteracy rate, total",1
Nickel,0.160635923,Canada,0.06,Canada 6%,0.00040159,Society,Life expectancy at birth,0
Nickel,0.160635923,Canada,0.06,Canada 6%,0.00040159,Society,Public expenditure on education,2
Nickel,0.160635923,Canada,0.06,Canada 6%,0.002409539,Value Chain Actors,Public sector corruption,2
Nickel,0.160635923,Canada,0.06,Canada 6%,0.00034422,Workers,"Children in employment, total",2
Nickel,0.160635923,Canada,0.06,Canada 6%,0.00034422,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.160635923,Canada,0.06,Canada 6%,0.00034422,Workers,"Sector average wage, per month",3
Nickel,0.160635923,Canada,0.06,Canada 6%,0.00034422,Workers,Trade union density,4
Nickel,0.160635923,Canada,0.06,Canada 6%,0.00034422,Workers,Weekly hours of work per employee,3
Nickel,0.160635923,Canada,0.06,Canada 6%,0.00034422,Workers,Women in the sectoral labour force,5
Nickel,0.160635923,Canada,0.06,Canada 6%,0.00034422,Workers,Workers affected by natural disasters,1
Nickel,0.160635923,China,0.048,China 4.8%,0.000481908,Local Community,Drinking water coverage,2
Nickel,0.160635923,China,0.048,China 4.8%,0.000481908,Local Community,International Migrant Stock,1
Nickel,0.160635923,China,0.048,China 4.8%,0.000481908,Local Community,Presence of indigenous population,3
Nickel,0.160635923,China,0.048,China 4.8%,0.000481908,Local Community,Sanitation coverage,4
Nickel,0.160635923,China,0.048,China 4.8%,0.000321272,Society,Embodied value added total,2
Nickel,0.160635923,China,0.048,China 4.8%,0.000321272,Society,Global Peace Index,3
Nickel,0.160635923,China,0.048,China 4.8%,0.000321272,Society,"Health expenditure, total",4
Nickel,0.160635923,China,0.048,China 4.8%,0.000321272,Society,"Illiteracy rate, total",3
Nickel,0.160635923,China,0.048,China 4.8%,0.000321272,Society,Life expectancy at birth,1
Nickel,0.160635923,China,0.048,China 4.8%,0.000321272,Society,Public expenditure on education,2
Nickel,0.160635923,China,0.048,China 4.8%,0.001927631,Value Chain Actors,Public sector corruption,5
Nickel,0.160635923,China,0.048,China 4.8%,0.000275376,Workers,"Children in employment, total",4
Nickel,0.160635923,China,0.048,China 4.8%,0.000275376,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.160635923,China,0.048,China 4.8%,0.000275376,Workers,"Sector average wage, per month",1
Nickel,0.160635923,China,0.048,China 4.8%,0.000275376,Workers,Trade union density,3
Nickel,0.160635923,China,0.048,China 4.8%,0.000275376,Workers,Weekly hours of work per employee,3
Nickel,0.160635923,China,0.048,China 4.8%,0.000275376,Workers,Women in the sectoral labour force,1
Nickel,0.160635923,China,0.048,China 4.8%,0.000275376,Workers,Workers affected by natural disasters,4
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.003052083,Local Community,Drinking water coverage,3
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.003052083,Local Community,International Migrant Stock,1
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.003052083,Local Community,Presence of indigenous population,3
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.003052083,Local Community,Sanitation coverage,4
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.002034722,Society,Embodied value added total,1
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.002034722,Society,Global Peace Index,2
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.002034722,Society,"Health expenditure, total",4
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.002034722,Society,"Illiteracy rate, total",3
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.002034722,Society,Life expectancy at birth,3
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.002034722,Society,Public expenditure on education,3
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.01220833,Value Chain Actors,Public sector corruption,5
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,"Children in employment, total",2
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,"Sector average wage, per month",4
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,Trade union density,5
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,Weekly hours of work per employee,3
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,Women in the sectoral labour force,1
Nickel,0.160635923,Indonesia,0.304,Indonesia 30.4%,0.001744047,Workers,Workers affected by natural disasters,1
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00080318,Local Community,Drinking water coverage,1
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00080318,Local Community,International Migrant Stock,5
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00080318,Local Community,Presence of indigenous population,3
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00080318,Local Community,Sanitation coverage,4
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.000535453,Society,Embodied value added total,4
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.000535453,Society,Global Peace Index,4
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.000535453,Society,"Health expenditure, total",3
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.000535453,Society,"Illiteracy rate, total",2
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.000535453,Society,Life expectancy at birth,1
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.000535453,Society,Public expenditure on education,2
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.003212718,Value Chain Actors,Public sector corruption,4
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,"Children in employment, total",3
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,Evidence of violations of laws and employment regulations,4
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,"Sector average wage, per month",2
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,Trade union density,4
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,Weekly hours of work per employee,3
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,Women in the sectoral labour force,2
Nickel,0.160635923,New Caledonia,0.08,New Caledonia 8%,0.00045896,Workers,Workers affected by natural disasters,1
Nickel,0.160635923,Philippines,0.128,Philippines 12.8%,0.001285087,Local Community,Drinking water coverage,2
