Country,Mining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Argentina,0.059160305,Argentina 5.9%,0.003286684,Local Community,Drinking water coverage,1,0.003697519,Safe and healthy living conditions
Argentina,0.059160305,Argentina 5.9%,0.003286684,Local Community,International Migrant Stock,2,0.003697519,Migration
Argentina,0.059160305,Argentina 5.9%,0.003286684,Local Community,Presence of indigenous population,3,0.003697519,Respect of indigenous rights
Argentina,0.059160305,Argentina 5.9%,0.003286684,Local Community,Sanitation coverage,5,0.003697519,Safe and healthy living conditions
Argentina,0.059160305,Argentina 5.9%,0.003286684,Society,Embodied value added total,5,0.002465013,Contribution to economic development
Argentina,0.059160305,Argentina 5.9%,0.003286684,Society,Global Peace Index,2,0.002465013,Health and Safety
Argentina,0.059160305,Argentina 5.9%,0.003286684,Society,"Health expenditure, total",3,0.002465013,Health and Safety
Argentina,0.059160305,Argentina 5.9%,0.003286684,Society,"Illiteracy rate, total",1,0.002465013,Contribution to economic development
Argentina,0.059160305,Argentina 5.9%,0.003286684,Society,Life expectancy at birth,1,0.002465013,Health and Safety
Argentina,0.059160305,Argentina 5.9%,0.003286684,Society,Public expenditure on education,2,0.002465013,Contribution to economic development
Argentina,0.059160305,Argentina 5.9%,0.003286684,Value Chain Actors,Public sector corruption,5,0.014790076,Corruption
Argentina,0.059160305,Argentina 5.9%,0.003286684,Workers,"Children in employment, total",3,0.002112868,Child labour
Argentina,0.059160305,Argentina 5.9%,0.003286684,Workers,Evidence of violations of laws and employment regulations,4,0.002112868,"Social benefits, legal issues"
Argentina,0.059160305,Argentina 5.9%,0.003286684,Workers,"Sector average wage, per month",2,0.002112868,Fair Salary
Argentina,0.059160305,Argentina 5.9%,0.003286684,Workers,Trade union density,4,0.002112868,Freedom of association and collective bargaining
Argentina,0.059160305,Argentina 5.9%,0.003286684,Workers,Weekly hours of work per employee,3,0.002112868,Working time
Argentina,0.059160305,Argentina 5.9%,0.003286684,Workers,Women in the sectoral labour force,3,0.002112868,Discrimination
Argentina,0.059160305,Argentina 5.9%,0.003286684,Workers,Workers affected by natural disasters,1,0.002112868,Health and Safety
Australia,0.52480916,Australia 52.5%,0.029156064,Local Community,Drinking water coverage,1,0.032800573,Safe and healthy living conditions
Australia,0.52480916,Australia 52.5%,0.029156064,Local Community,International Migrant Stock,5,0.032800573,Migration
Australia,0.52480916,Australia 52.5%,0.029156064,Local Community,Presence of indigenous population,3,0.032800573,Respect of indigenous rights
Australia,0.52480916,Australia 52.5%,0.029156064,Local Community,Sanitation coverage,3,0.032800573,Safe and healthy living conditions
Australia,0.52480916,Australia 52.5%,0.029156064,Society,Embodied value added total,5,0.021867048,Contribution to economic development
Australia,0.52480916,Australia 52.5%,0.029156064,Society,Global Peace Index,1,0.021867048,Health and Safety
Australia,0.52480916,Australia 52.5%,0.029156064,Society,"Health expenditure, total",3,0.021867048,Health and Safety
Australia,0.52480916,Australia 52.5%,0.029156064,Society,"Illiteracy rate, total",3,0.021867048,Contribution to economic development
Australia,0.52480916,Australia 52.5%,0.029156064,Society,Life expectancy at birth,0,0.021867048,Health and Safety
Australia,0.52480916,Australia 52.5%,0.029156064,Society,Public expenditure on education,2,0.021867048,Contribution to economic development
Australia,0.52480916,Australia 52.5%,0.029156064,Value Chain Actors,Public sector corruption,2,0.13120229,Corruption
Australia,0.52480916,Australia 52.5%,0.029156064,Workers,"Children in employment, total",2,0.018743184,Child labour
Australia,0.52480916,Australia 52.5%,0.029156064,Workers,Evidence of violations of laws and employment regulations,3,0.018743184,"Social benefits, legal issues"
Australia,0.52480916,Australia 52.5%,0.029156064,Workers,"Sector average wage, per month",1,0.018743184,Fair Salary
Australia,0.52480916,Australia 52.5%,0.029156064,Workers,Trade union density,5,0.018743184,Freedom of association and collective bargaining
Australia,0.52480916,Australia 52.5%,0.029156064,Workers,Weekly hours of work per employee,4,0.018743184,Working time
Australia,0.52480916,Australia 52.5%,0.029156064,Workers,Women in the sectoral labour force,4,0.018743184,Discrimination
Australia,0.52480916,Australia 52.5%,0.029156064,Workers,Workers affected by natural disasters,1,0.018743184,Health and Safety
Chile,0.248091603,Chile 24.8%,0.013782867,Local Community,Drinking water coverage,1,0.015505725,Safe and healthy living conditions
Chile,0.248091603,Chile 24.8%,0.013782867,Local Community,International Migrant Stock,2,0.015505725,Migration
Chile,0.248091603,Chile 24.8%,0.013782867,Local Community,Presence of indigenous population,3,0.015505725,Respect of indigenous rights
Chile,0.248091603,Chile 24.8%,0.013782867,Local Community,Sanitation coverage,3,0.015505725,Safe and healthy living conditions
Chile,0.248091603,Chile 24.8%,0.013782867,Society,Embodied value added total,5,0.01033715,Contribution to economic development
Chile,0.248091603,Chile 24.8%,0.013782867,Society,Global Peace Index,2,0.01033715,Health and Safety
Chile,0.248091603,Chile 24.8%,0.013782867,Society,"Health expenditure, total",3,0.01033715,Health and Safety
Chile,0.248091603,Chile 24.8%,0.013782867,Society,"Illiteracy rate, total",2,0.01033715,Contribution to economic development
Chile,0.248091603,Chile 24.8%,0.013782867,Society,Life expectancy at birth,0,0.01033715,Health and Safety
Chile,0.248091603,Chile 24.8%,0.013782867,Society,Public expenditure on education,2,0.01033715,Contribution to economic development
Chile,0.248091603,Chile 24.8%,0.013782867,Value Chain Actors,Public sector corruption,3,0.062022901,Corruption
Chile,0.248091603,Chile 24.8%,0.013782867,Workers,"Children in employment, total",2,0.008860414,Child labour
Chile,0.248091603,Chile 24.8%,0.013782867,Workers,Evidence of violations of laws and employment regulations,3,0.008860414,"Social benefits, legal issues"
Chile,0.248091603,Chile 24.8%,0.013782867,Workers,"Sector average wage, per month",4,0.008860414,Fair Salary
Chile,0.248091603,Chile 24.8%,0.013782867,Workers,Trade union density,5,0.008860414,Freedom of association and collective bargaining
Chile,0.248091603,Chile 24.8%,0.013782867,Workers,Weekly hours of work per employee,3,0.008860414,Working time
Chile,0.248091603,Chile 24.8%,0.013782867,Workers,Women in the sectoral labour force,2,0.008860414,Discrimination
Chile,0.248091603,Chile 24.8%,0.013782867,Workers,Workers affected by natural disasters,4,0.008860414,Health and Safety
China,0.133587786,China 13.4%,0.007421544,Local Community,Drinking water coverage,2,0.008349237,Safe and healthy living conditions
China,0.133587786,China 13.4%,0.007421544,Local Community,International Migrant Stock,1,0.008349237,Migration
China,0.133587786,China 13.4%,0.007421544,Local Community,Presence of indigenous population,3,0.008349237,Respect of indigenous rights
China,0.133587786,China 13.4%,0.007421544,Local Community,Sanitation coverage,4,0.008349237,Safe and healthy living conditions
China,0.133587786,China 13.4%,0.007421544,Society,Embodied value added total,2,0.005566158,Contribution to economic development
China,0.133587786,China 13.4%,0.007421544,Society,Global Peace Index,3,0.005566158,Health and Safety
China,0.133587786,China 13.4%,0.007421544,Society,"Health expenditure, total",4,0.005566158,Health and Safety
China,0.133587786,China 13.4%,0.007421544,Society,"Illiteracy rate, total",3,0.005566158,Contribution to economic development
China,0.133587786,China 13.4%,0.007421544,Society,Life expectancy at birth,1,0.005566158,Health and Safety
China,0.133587786,China 13.4%,0.007421544,Society,Public expenditure on education,2,0.005566158,Contribution to economic development
China,0.133587786,China 13.4%,0.007421544,Value Chain Actors,Public sector corruption,5,0.033396947,Corruption
