Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Argentina,0.10474537,Argentina 10.5%,0.005819187,Local Community,Drinking water coverage,1,0.006546586,Safe and healthy living conditions
Argentina,0.10474537,Argentina 10.5%,0.005819187,Local Community,International Migrant Stock,2,0.006546586,Migration
Argentina,0.10474537,Argentina 10.5%,0.005819187,Local Community,Presence of indigenous population,3,0.006546586,Respect of indigenous rights
Argentina,0.10474537,Argentina 10.5%,0.005819187,Local Community,Sanitation coverage,5,0.006546586,Safe and healthy living conditions
Argentina,0.10474537,Argentina 10.5%,0.005819187,Society,Embodied value added total,5,0.00436439,Contribution to economic development
Argentina,0.10474537,Argentina 10.5%,0.005819187,Society,Global Peace Index,2,0.00436439,Health and Safety
Argentina,0.10474537,Argentina 10.5%,0.005819187,Society,"Health expenditure, total",3,0.00436439,Health and Safety
Argentina,0.10474537,Argentina 10.5%,0.005819187,Society,"Illiteracy rate, total",1,0.00436439,Contribution to economic development
Argentina,0.10474537,Argentina 10.5%,0.005819187,Society,Life expectancy at birth,1,0.00436439,Health and Safety
Argentina,0.10474537,Argentina 10.5%,0.005819187,Society,Public expenditure on education,2,0.00436439,Contribution to economic development
Argentina,0.10474537,Argentina 10.5%,0.005819187,Value Chain Actors,Public sector corruption,5,0.026186343,Corruption
Argentina,0.10474537,Argentina 10.5%,0.005819187,Workers,"Children in employment, total",3,0.003740906,Child labour
Argentina,0.10474537,Argentina 10.5%,0.005819187,Workers,Evidence of violations of laws and employment regulations,4,0.003740906,"Social benefits, legal issues"
Argentina,0.10474537,Argentina 10.5%,0.005819187,Workers,"Sector average wage, per month",2,0.003740906,Fair Salary
Argentina,0.10474537,Argentina 10.5%,0.005819187,Workers,Trade union density,4,0.003740906,Freedom of association and collective bargaining
Argentina,0.10474537,Argentina 10.5%,0.005819187,Workers,Weekly hours of work per employee,3,0.003740906,Working time
Argentina,0.10474537,Argentina 10.5%,0.005819187,Workers,Women in the sectoral labour force,3,0.003740906,Discrimination
Argentina,0.10474537,Argentina 10.5%,0.005819187,Workers,Workers affected by natural disasters,1,0.003740906,Health and Safety
Australia,0.175925926,Australia 17.6%,0.009773663,Local Community,Drinking water coverage,1,0.01099537,Safe and healthy living conditions
Australia,0.175925926,Australia 17.6%,0.009773663,Local Community,International Migrant Stock,5,0.01099537,Migration
Australia,0.175925926,Australia 17.6%,0.009773663,Local Community,Presence of indigenous population,3,0.01099537,Respect of indigenous rights
Australia,0.175925926,Australia 17.6%,0.009773663,Local Community,Sanitation coverage,3,0.01099537,Safe and healthy living conditions
Australia,0.175925926,Australia 17.6%,0.009773663,Society,Embodied value added total,5,0.007330247,Contribution to economic development
Australia,0.175925926,Australia 17.6%,0.009773663,Society,Global Peace Index,1,0.007330247,Health and Safety
Australia,0.175925926,Australia 17.6%,0.009773663,Society,"Health expenditure, total",3,0.007330247,Health and Safety
Australia,0.175925926,Australia 17.6%,0.009773663,Society,"Illiteracy rate, total",3,0.007330247,Contribution to economic development
Australia,0.175925926,Australia 17.6%,0.009773663,Society,Life expectancy at birth,0,0.007330247,Health and Safety
Australia,0.175925926,Australia 17.6%,0.009773663,Society,Public expenditure on education,2,0.007330247,Contribution to economic development
Australia,0.175925926,Australia 17.6%,0.009773663,Value Chain Actors,Public sector corruption,2,0.043981481,Corruption
Australia,0.175925926,Australia 17.6%,0.009773663,Workers,"Children in employment, total",2,0.006283069,Child labour
Australia,0.175925926,Australia 17.6%,0.009773663,Workers,Evidence of violations of laws and employment regulations,3,0.006283069,"Social benefits, legal issues"
Australia,0.175925926,Australia 17.6%,0.009773663,Workers,"Sector average wage, per month",1,0.006283069,Fair Salary
Australia,0.175925926,Australia 17.6%,0.009773663,Workers,Trade union density,5,0.006283069,Freedom of association and collective bargaining
Australia,0.175925926,Australia 17.6%,0.009773663,Workers,Weekly hours of work per employee,4,0.006283069,Working time
Australia,0.175925926,Australia 17.6%,0.009773663,Workers,Women in the sectoral labour force,3,0.006283069,Discrimination
Australia,0.175925926,Australia 17.6%,0.009773663,Workers,Workers affected by natural disasters,1,0.006283069,Health and Safety
Chile,0.318865741,Chile 31.9%,0.017714763,Local Community,Drinking water coverage,1,0.019929109,Safe and healthy living conditions
Chile,0.318865741,Chile 31.9%,0.017714763,Local Community,International Migrant Stock,2,0.019929109,Migration
Chile,0.318865741,Chile 31.9%,0.017714763,Local Community,Presence of indigenous population,3,0.019929109,Respect of indigenous rights
Chile,0.318865741,Chile 31.9%,0.017714763,Local Community,Sanitation coverage,3,0.019929109,Safe and healthy living conditions
Chile,0.318865741,Chile 31.9%,0.017714763,Society,Embodied value added total,5,0.013286073,Contribution to economic development
Chile,0.318865741,Chile 31.9%,0.017714763,Society,Global Peace Index,2,0.013286073,Health and Safety
Chile,0.318865741,Chile 31.9%,0.017714763,Society,"Health expenditure, total",3,0.013286073,Health and Safety
Chile,0.318865741,Chile 31.9%,0.017714763,Society,"Illiteracy rate, total",2,0.013286073,Contribution to economic development
Chile,0.318865741,Chile 31.9%,0.017714763,Society,Life expectancy at birth,0,0.013286073,Health and Safety
Chile,0.318865741,Chile 31.9%,0.017714763,Society,Public expenditure on education,2,0.013286073,Contribution to economic development
