Country,Mining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Australia,18%,Australia 17.8%,0.00990991,Local Community,Drinking water coverage,1,0.011148649,Safe and healthy living conditions
Australia,18%,Australia 17.8%,0.00990991,Local Community,International Migrant Stock,5,0.011148649,Migration
Australia,18%,Australia 17.8%,0.00990991,Local Community,Presence of indigenous population,3,0.011148649,Respect of indigenous rights
Australia,18%,Australia 17.8%,0.00990991,Local Community,Sanitation coverage,3,0.011148649,Safe and healthy living conditions
Australia,18%,Australia 17.8%,0.00990991,Society,Embodied value added total,5,0.007432432,Contribution to economic development
Australia,18%,Australia 17.8%,0.00990991,Society,Global Peace Index,1,0.007432432,Health and Safety
Australia,18%,Australia 17.8%,0.00990991,Society,"Health expenditure, total",3,0.007432432,Health and Safety
Australia,18%,Australia 17.8%,0.00990991,Society,"Illiteracy rate, total",3,0.007432432,Contribution to economic development
Australia,18%,Australia 17.8%,0.00990991,Society,Life expectancy at birth,0,0.007432432,Health and Safety
Australia,18%,Australia 17.8%,0.00990991,Society,Public expenditure on education,2,0.007432432,Contribution to economic development
Australia,18%,Australia 17.8%,0.00990991,Value Chain Actors,Public sector corruption,2,0.044594595,Corruption
Australia,18%,Australia 17.8%,0.00990991,Workers,"Children in employment, total",2,0.006370656,Child labour
Australia,18%,Australia 17.8%,0.00990991,Workers,Evidence of violations of laws and employment regulations,3,0.006370656,"Social benefits, legal issues"
Australia,18%,Australia 17.8%,0.00990991,Workers,"Sector average wage, per month",1,0.006370656,Fair Salary
Australia,18%,Australia 17.8%,0.00990991,Workers,Trade union density,5,0.006370656,Freedom of association and collective bargaining
Australia,18%,Australia 17.8%,0.00990991,Workers,Weekly hours of work per employee,3,0.006370656,Working time
Australia,18%,Australia 17.8%,0.00990991,Workers,Women in the sectoral labour force,4,0.006370656,Discrimination
Australia,18%,Australia 17.8%,0.00990991,Workers,Workers affected by natural disasters,1,0.006370656,Health and Safety
Brazil,6%,Brazil 6.5%,0.003603604,Local Community,Drinking water coverage,1,0.004054054,Safe and healthy living conditions
Brazil,6%,Brazil 6.5%,0.003603604,Local Community,International Migrant Stock,1,0.004054054,Migration
Brazil,6%,Brazil 6.5%,0.003603604,Local Community,Presence of indigenous population,3,0.004054054,Respect of indigenous rights
Brazil,6%,Brazil 6.5%,0.003603604,Local Community,Sanitation coverage,4,0.004054054,Safe and healthy living conditions
Brazil,6%,Brazil 6.5%,0.003603604,Society,Embodied value added total,5,0.002702703,Contribution to economic development
Brazil,6%,Brazil 6.5%,0.003603604,Society,Global Peace Index,3,0.002702703,Health and Safety
Brazil,6%,Brazil 6.5%,0.003603604,Society,"Health expenditure, total",2,0.002702703,Health and Safety
Brazil,6%,Brazil 6.5%,0.003603604,Society,"Illiteracy rate, total",3,0.002702703,Contribution to economic development
Brazil,6%,Brazil 6.5%,0.003603604,Society,Life expectancy at birth,2,0.002702703,Health and Safety
Brazil,6%,Brazil 6.5%,0.003603604,Society,Public expenditure on education,1,0.002702703,Contribution to economic development
Brazil,6%,Brazil 6.5%,0.003603604,Value Chain Actors,Public sector corruption,5,0.016216216,Corruption
Brazil,6%,Brazil 6.5%,0.003603604,Workers,"Children in employment, total",2,0.002316602,Child labour
Brazil,6%,Brazil 6.5%,0.003603604,Workers,Evidence of violations of laws and employment regulations,3,0.002316602,"Social benefits, legal issues"
Brazil,6%,Brazil 6.5%,0.003603604,Workers,"Sector average wage, per month",3,0.002316602,Fair Salary
Brazil,6%,Brazil 6.5%,0.003603604,Workers,Trade union density,5,0.002316602,Freedom of association and collective bargaining
Brazil,6%,Brazil 6.5%,0.003603604,Workers,Weekly hours of work per employee,2,0.002316602,Working time
Brazil,6%,Brazil 6.5%,0.003603604,Workers,Women in the sectoral labour force,1,0.002316602,Discrimination
Brazil,6%,Brazil 6.5%,0.003603604,Workers,Workers affected by natural disasters,1,0.002316602,Health and Safety
China,7%,China 7%,0.003903904,Local Community,Drinking water coverage,2,0.004391892,Safe and healthy living conditions
China,7%,China 7%,0.003903904,Local Community,International Migrant Stock,1,0.004391892,Migration
China,7%,China 7%,0.003903904,Local Community,Presence of indigenous population,3,0.004391892,Respect of indigenous rights
China,7%,China 7%,0.003903904,Local Community,Sanitation coverage,4,0.004391892,Safe and healthy living conditions
China,7%,China 7%,0.003903904,Society,Embodied value added total,2,0.002927928,Contribution to economic development
China,7%,China 7%,0.003903904,Society,Global Peace Index,3,0.002927928,Health and Safety
China,7%,China 7%,0.003903904,Society,"Health expenditure, total",4,0.002927928,Health and Safety
China,7%,China 7%,0.003903904,Society,"Illiteracy rate, total",3,0.002927928,Contribution to economic development
China,7%,China 7%,0.003903904,Society,Life expectancy at birth,1,0.002927928,Health and Safety
China,7%,China 7%,0.003903904,Society,Public expenditure on education,2,0.002927928,Contribution to economic development
China,7%,China 7%,0.003903904,Value Chain Actors,Public sector corruption,5,0.017567568,Corruption
China,7%,China 7%,0.003903904,Workers,"Children in employment, total",4,0.002509653,Child labour
China,7%,China 7%,0.003903904,Workers,Evidence of violations of laws and employment regulations,3,0.002509653,"Social benefits, legal issues"
