Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
China,57%,China 57%,0.031666667,Local Community,Drinking water coverage,2,0.035625,Safe and healthy living conditions
China,57%,China 57%,0.031666667,Local Community,International Migrant Stock,1,0.035625,Migration
China,57%,China 57%,0.031666667,Local Community,Presence of indigenous population,3,0.035625,Respect of indigenous rights
China,57%,China 57%,0.031666667,Local Community,Sanitation coverage,4,0.035625,Safe and healthy living conditions
China,57%,China 57%,0.031666667,Society,Embodied value added total,4,0.02375,Contribution to economic development
China,57%,China 57%,0.031666667,Society,Global Peace Index,3,0.02375,Health and Safety
China,57%,China 57%,0.031666667,Society,"Health expenditure, total",4,0.02375,Health and Safety
China,57%,China 57%,0.031666667,Society,"Illiteracy rate, total",3,0.02375,Contribution to economic development
China,57%,China 57%,0.031666667,Society,Life expectancy at birth,1,0.02375,Health and Safety
China,57%,China 57%,0.031666667,Society,Public expenditure on education,2,0.02375,Contribution to economic development
China,57%,China 57%,0.031666667,Value Chain Actors,Public sector corruption,5,0.1425,Corruption
China,57%,China 57%,0.031666667,Workers,"Children in employment, total",4,0.020357143,Child labour
China,57%,China 57%,0.031666667,Workers,Evidence of violations of laws and employment regulations,3,0.020357143,"Social benefits, legal issues"
China,57%,China 57%,0.031666667,Workers,"Sector average wage, per month",1,0.020357143,Fair Salary
China,57%,China 57%,0.031666667,Workers,Trade union density,3,0.020357143,Freedom of association and collective bargaining
China,57%,China 57%,0.031666667,Workers,Weekly hours of work per employee,3,0.020357143,Working time
China,57%,China 57%,0.031666667,Workers,Women in the sectoral labour force,1,0.020357143,Discrimination
China,57%,China 57%,0.031666667,Workers,Workers affected by natural disasters,4,0.020357143,Health and Safety
Ghana,11%,Ghana 11%,0.006111111,Local Community,Drinking water coverage,5,0.006875,Safe and healthy living conditions
Ghana,11%,Ghana 11%,0.006111111,Local Community,International Migrant Stock,1,0.006875,Migration
Ghana,11%,Ghana 11%,0.006111111,Local Community,Presence of indigenous population,0,0.006875,Respect of indigenous rights
Ghana,11%,Ghana 11%,0.006111111,Local Community,Sanitation coverage,5,0.006875,Safe and healthy living conditions
Ghana,11%,Ghana 11%,0.006111111,Society,Embodied value added total,2,0.004583333,Contribution to economic development
Ghana,11%,Ghana 11%,0.006111111,Society,Global Peace Index,2,0.004583333,Health and Safety
Ghana,11%,Ghana 11%,0.006111111,Society,"Health expenditure, total",4,0.004583333,Health and Safety
Ghana,11%,Ghana 11%,0.006111111,Society,"Illiteracy rate, total",5,0.004583333,Contribution to economic development
Ghana,11%,Ghana 11%,0.006111111,Society,Life expectancy at birth,4,0.004583333,Health and Safety
Ghana,11%,Ghana 11%,0.006111111,Society,Public expenditure on education,2,0.004583333,Contribution to economic development
Ghana,11%,Ghana 11%,0.006111111,Value Chain Actors,Public sector corruption,5,0.0275,Corruption
Ghana,11%,Ghana 11%,0.006111111,Workers,"Children in employment, total",5,0.003928571,Child labour
Ghana,11%,Ghana 11%,0.006111111,Workers,Evidence of violations of laws and employment regulations,4,0.003928571,"Social benefits, legal issues"
Ghana,11%,Ghana 11%,0.006111111,Workers,"Sector average wage, per month",5,0.003928571,Fair Salary
Ghana,11%,Ghana 11%,0.006111111,Workers,Trade union density,4,0.003928571,Freedom of association and collective bargaining
Ghana,11%,Ghana 11%,0.006111111,Workers,Weekly hours of work per employee,3,0.003928571,Working time
Ghana,11%,Ghana 11%,0.006111111,Workers,Women in the sectoral labour force,1,0.003928571,Discrimination
Ghana,11%,Ghana 11%,0.006111111,Workers,Workers affected by natural disasters,1,0.003928571,Health and Safety
Korea,3%,Korea 3%,0.001666667,Local Community,Drinking water coverage,1,0.001875,Safe and healthy living conditions
Korea,3%,Korea 3%,0.001666667,Local Community,International Migrant Stock,2,0.001875,Migration
Korea,3%,Korea 3%,0.001666667,Local Community,Presence of indigenous population,0,0.001875,Respect of indigenous rights
Korea,3%,Korea 3%,0.001666667,Local Community,Sanitation coverage,4,0.001875,Safe and healthy living conditions
Korea,3%,Korea 3%,0.001666667,Society,Embodied value added total,5,0.00125,Contribution to economic development
Korea,3%,Korea 3%,0.001666667,Society,Global Peace Index,2,0.00125,Health and Safety
Korea,3%,Korea 3%,0.001666667,Society,"Health expenditure, total",3,0.00125,Health and Safety
Korea,3%,Korea 3%,0.001666667,Society,"Illiteracy rate, total",3,0.00125,Contribution to economic development
Korea,3%,Korea 3%,0.001666667,Society,Life expectancy at birth,0,0.00125,Health and Safety
Korea,3%,Korea 3%,0.001666667,Society,Public expenditure on education,2,0.00125,Contribution to economic development
Korea,3%,Korea 3%,0.001666667,Value Chain Actors,Public sector corruption,5,0.0075,Corruption
Korea,3%,Korea 3%,0.001666667,Workers,"Children in employment, total",2,0.001071429,Child labour
Korea,3%,Korea 3%,0.001666667,Workers,Evidence of violations of laws and employment regulations,3,0.001071429,"Social benefits, legal issues"
Korea,3%,Korea 3%,0.001666667,Workers,"Sector average wage, per month",1,0.001071429,Fair Salary
Korea,3%,Korea 3%,0.001666667,Workers,Trade union density,5,0.001071429,Freedom of association and collective bargaining
Korea,3%,Korea 3%,0.001666667,Workers,Weekly hours of work per employee,2,0.001071429,Working time
Korea,3%,Korea 3%,0.001666667,Workers,Women in the sectoral labour force,2,0.001071429,Discrimination
Korea,3%,Korea 3%,0.001666667,Workers,Workers affected by natural disasters,1,0.001071429,Health and Safety
Mexico,5%,Mexico 5%,0.002777778,Local Community,Drinking water coverage,5,0.003125,Safe and healthy living conditions
Mexico,5%,Mexico 5%,0.002777778,Local Community,International Migrant Stock,1,0.003125,Migration
Mexico,5%,Mexico 5%,0.002777778,Local Community,Presence of indigenous population,3,0.003125,Respect of indigenous rights
Mexico,5%,Mexico 5%,0.002777778,Local Community,Sanitation coverage,4,0.003125,Safe and healthy living conditions
Mexico,5%,Mexico 5%,0.002777778,Society,Embodied value added total,5,0.002083333,Contribution to economic development
Mexico,5%,Mexico 5%,0.002777778,Society,Global Peace Index,4,0.002083333,Health and Safety
Mexico,5%,Mexico 5%,0.002777778,Society,"Health expenditure, total",3,0.002083333,Health and Safety
Mexico,5%,Mexico 5%,0.002777778,Society,"Illiteracy rate, total",3,0.002083333,Contribution to economic development
Mexico,5%,Mexico 5%,0.002777778,Society,Life expectancy at birth,1,0.002083333,Health and Safety
Mexico,5%,Mexico 5%,0.002777778,Society,Public expenditure on education,2,0.002083333,Contribution to economic development
Mexico,5%,Mexico 5%,0.002777778,Value Chain Actors,Public sector corruption,5,0.0125,Corruption
Mexico,5%,Mexico 5%,0.002777778,Workers,"Children in employment, total",3,0.001785714,Child labour
Mexico,5%,Mexico 5%,0.002777778,Workers,Evidence of violations of laws and employment regulations,3,0.001785714,"Social benefits, legal issues"
Mexico,5%,Mexico 5%,0.002777778,Workers,"Sector average wage, per month",3,0.001785714,Fair Salary
Mexico,5%,Mexico 5%,0.002777778,Workers,Trade union density,5,0.001785714,Freedom of association and collective bargaining
Mexico,5%,Mexico 5%,0.002777778,Workers,Weekly hours of work per employee,3,0.001785714,Working time
Mexico,5%,Mexico 5%,0.002777778,Workers,Women in the sectoral labour force,1,0.001785714,Discrimination
Mexico,5%,Mexico 5%,0.002777778,Workers,Workers affected by natural disasters,1,0.001785714,Health and Safety
Norway,3%,Norway 3%,0.001666667,Local Community,Drinking water coverage,2,0.001875,Safe and healthy living conditions
Norway,3%,Norway 3%,0.001666667,Local Community,International Migrant Stock,4,0.001875,Migration
Norway,3%,Norway 3%,0.001666667,Local Community,Presence of indigenous population,3,0.001875,Respect of indigenous rights
Norway,3%,Norway 3%,0.001666667,Local Community,Sanitation coverage,3,0.001875,Safe and healthy living conditions
Norway,3%,Norway 3%,0.001666667,Society,Embodied value added total,5,0.00125,Contribution to economic development
Norway,3%,Norway 3%,0.001666667,Society,Global Peace Index,2,0.00125,Health and Safety
Norway,3%,Norway 3%,0.001666667,Society,"Health expenditure, total",2,0.00125,Health and Safety
Norway,3%,Norway 3%,0.001666667,Society,"Illiteracy rate, total",1,0.00125,Contribution to economic development
Norway,3%,Norway 3%,0.001666667,Society,Life expectancy at birth,0,0.00125,Health and Safety
Norway,3%,Norway 3%,0.001666667,Society,Public expenditure on education,1,0.00125,Contribution to economic development
Norway,3%,Norway 3%,0.001666667,Value Chain Actors,Public sector corruption,1,0.0075,Corruption
Norway,3%,Norway 3%,0.001666667,Workers,"Children in employment, total",3,0.001071429,Child labour
Norway,3%,Norway 3%,0.001666667,Workers,Evidence of violations of laws and employment regulations,3,0.001071429,"Social benefits, legal issues"
Norway,3%,Norway 3%,0.001666667,Workers,"Sector average wage, per month",1,0.001071429,Fair Salary
Norway,3%,Norway 3%,0.001666667,Workers,Trade union density,3,0.001071429,Freedom of association and collective bargaining
Norway,3%,Norway 3%,0.001666667,Workers,Weekly hours of work per employee,3,0.001071429,Working time
Norway,3%,Norway 3%,0.001666667,Workers,Women in the sectoral labour force,3,0.001071429,Discrimination
Norway,3%,Norway 3%,0.001666667,Workers,Workers affected by natural disasters,1,0.001071429,Health and Safety
South Africa,5%,South Africa 5%,0.002777778,Local Community,Drinking water coverage,3,0.003125,Safe and healthy living conditions
South Africa,5%,South Africa 5%,0.002777778,Local Community,International Migrant Stock,3,0.003125,Migration
South Africa,5%,South Africa 5%,0.002777778,Local Community,Presence of indigenous population,3,0.003125,Respect of indigenous rights
South Africa,5%,South Africa 5%,0.002777778,Local Community,Sanitation coverage,4,0.003125,Safe and healthy living conditions
South Africa,5%,South Africa 5%,0.002777778,Society,Embodied value added total,5,0.002083333,Contribution to economic development
South Africa,5%,South Africa 5%,0.002777778,Society,Global Peace Index,4,0.002083333,Health and Safety
South Africa,5%,South Africa 5%,0.002777778,Society,"Health expenditure, total",3,0.002083333,Health and Safety
South Africa,0.05,South Africa 5%,0.002777778,Society,"Illiteracy rate, total",3,0.002083333,Contribution to economic development
