Material,Material share,Country,Mining share,Label,Area,Stakeholder,Indicator,Value
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.003206479,Local Community,Drinking water coverage,1
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.003206479,Local Community,International Migrant Stock,5
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.003206479,Local Community,Presence of indigenous population,3
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.003206479,Local Community,Sanitation coverage,3
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.002137652,Society,Embodied value added total,5
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.002137652,Society,Global Peace Index,1
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.002137652,Society,"Health expenditure, total",3
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.002137652,Society,"Illiteracy rate, total",3
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.002137652,Society,Life expectancy at birth,0
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.002137652,Society,Public expenditure on education,2
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.012825915,Value Chain Actors,Public sector corruption,2
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.001832274,Workers,"Children in employment, total",2
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.001832274,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.001832274,Workers,"Sector average wage, per month",1
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.001832274,Workers,Trade union density,5
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.001832274,Workers,Weekly hours of work per employee,3
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.001832274,Workers,Women in the sectoral labour force,4
Nickel,0.754465588,Australia,0.068,Australia 6.8%,0.001832274,Workers,Workers affected by natural disasters,1
Nickel,0.754465588,Canada,0.06,Canada 6%,0.002829246,Local Community,Drinking water coverage,1
Nickel,0.754465588,Canada,0.06,Canada 6%,0.002829246,Local Community,International Migrant Stock,5
Nickel,0.754465588,Canada,0.06,Canada 6%,0.002829246,Local Community,Presence of indigenous population,3
Nickel,0.754465588,Canada,0.06,Canada 6%,0.002829246,Local Community,Sanitation coverage,3
Nickel,0.754465588,Canada,0.06,Canada 6%,0.001886164,Society,Embodied value added total,1
Nickel,0.754465588,Canada,0.06,Canada 6%,0.001886164,Society,Global Peace Index,1
Nickel,0.754465588,Canada,0.06,Canada 6%,0.001886164,Society,"Health expenditure, total",2
Nickel,0.754465588,Canada,0.06,Canada 6%,0.001886164,Society,"Illiteracy rate, total",1
Nickel,0.754465588,Canada,0.06,Canada 6%,0.001886164,Society,Life expectancy at birth,0
Nickel,0.754465588,Canada,0.06,Canada 6%,0.001886164,Society,Public expenditure on education,2
Nickel,0.754465588,Canada,0.06,Canada 6%,0.011316984,Value Chain Actors,Public sector corruption,2
Nickel,0.754465588,Canada,0.06,Canada 6%,0.001616712,Workers,"Children in employment, total",2
Nickel,0.754465588,Canada,0.06,Canada 6%,0.001616712,Workers,Evidence of violations of laws and employment regulations,3
Nickel,0.754465588,Canada,0.06,Canada 6%,0.001616712,Workers,"Sector average wage, per month",3
Nickel,0.754465588,Canada,0.06,Canada 6%,0.001616712,Workers,Trade union density,4
Nickel,0.754465588,Canada,0.06,Canada 6%,0.001616712,Workers,Weekly hours of work per employee,3
Nickel,0.754465588,Canada,0.06,Canada 6%,0.001616712,Workers,Women in the sectoral labour force,5
Nickel,0.754465588,Canada,0.06,Canada 6%,0.001616712,Workers,Workers affected by natural disasters,1
Nickel,0.569063794,China,0.048,China 4.8%,0.001707191,Local Community,Drinking water coverage,2
Nickel,0.569063794,China,0.048,China 4.8%,0.001707191,Local Community,International Migrant Stock,1
Nickel,0.569063794,China,0.048,China 4.8%,0.001707191,Local Community,Presence of indigenous population,3
Nickel,0.569063794,China,0.048,China 4.8%,0.001707191,Local Community,Sanitation coverage,4
Nickel,0.569063794,China,0.048,China 4.8%,0.001138128,Society,Embodied value added total,2
Nickel,0.569063794,China,0.048,China 4.8%,0.001138128,Society,Global Peace Index,3
Nickel,0.569063794,China,0.048,China 4.8%,0.001138128,Society,"Health expenditure, total",4
Nickel,0.569063794,China,0.048,China 4.8%,0.001138128,Society,"Illiteracy rate, total",3
