Country,Refining share,Label,Area,Stakeholder,Indicator,Value,Area if each stakeholder has the same weight,Subcategory
Australia,0.042383913,Australia 4.2%,0.002354662,Local Community,Drinking water coverage,1,0.002648995,Safe and healthy living conditions
Australia,0.042383913,Australia 4.2%,0.002354662,Local Community,International Migrant Stock,5,0.002648995,Migration
Australia,0.042383913,Australia 4.2%,0.002354662,Local Community,Presence of indigenous population,3,0.002648995,Respect of indigenous rights
Australia,0.042383913,Australia 4.2%,0.002354662,Local Community,Sanitation coverage,3,0.002648995,Safe and healthy living conditions
Australia,0.042383913,Australia 4.2%,0.002354662,Society,Embodied value added total,5,0.001765996,Contribution to economic development
Australia,0.042383913,Australia 4.2%,0.002354662,Society,Global Peace Index,1,0.001765996,Health and Safety
Australia,0.042383913,Australia 4.2%,0.002354662,Society,"Health expenditure, total",3,0.001765996,Health and Safety
Australia,0.042383913,Australia 4.2%,0.002354662,Society,"Illiteracy rate, total",3,0.001765996,Contribution to economic development
Australia,0.042383913,Australia 4.2%,0.002354662,Society,Life expectancy at birth,0,0.001765996,Health and Safety
Australia,0.042383913,Australia 4.2%,0.002354662,Society,Public expenditure on education,2,0.001765996,Contribution to economic development
Australia,0.042383913,Australia 4.2%,0.002354662,Value Chain Actors,Public sector corruption,2,0.010595978,Corruption
Australia,0.042383913,Australia 4.2%,0.002354662,Workers,"Children in employment, total",2,0.001513711,Child labour
Australia,0.042383913,Australia 4.2%,0.002354662,Workers,Evidence of violations of laws and employment regulations,3,0.001513711,"Social benefits, legal issues"
Australia,0.042383913,Australia 4.2%,0.002354662,Workers,"Sector average wage, per month",1,0.001513711,Fair Salary
Australia,0.042383913,Australia 4.2%,0.002354662,Workers,Trade union density,5,0.001513711,Freedom of association and collective bargaining
Australia,0.042383913,Australia 4.2%,0.002354662,Workers,Weekly hours of work per employee,4,0.001513711,Working time
Australia,0.042383913,Australia 4.2%,0.002354662,Workers,Women in the sectoral labour force,3,0.001513711,Discrimination
Australia,0.042383913,Australia 4.2%,0.002354662,Workers,Workers affected by natural disasters,1,0.001513711,Health and Safety
Canada,0.0496553,Canada 5%,0.002758628,Local Community,Drinking water coverage,1,0.003103456,Safe and healthy living conditions
Canada,0.0496553,Canada 5%,0.002758628,Local Community,International Migrant Stock,5,0.003103456,Migration
Canada,0.0496553,Canada 5%,0.002758628,Local Community,Presence of indigenous population,3,0.003103456,Respect of indigenous rights
Canada,0.0496553,Canada 5%,0.002758628,Local Community,Sanitation coverage,3,0.003103456,Safe and healthy living conditions
Canada,0.0496553,Canada 5%,0.002758628,Society,Embodied value added total,3,0.002068971,Contribution to economic development
Canada,0.0496553,Canada 5%,0.002758628,Society,Global Peace Index,1,0.002068971,Health and Safety
Canada,0.0496553,Canada 5%,0.002758628,Society,"Health expenditure, total",2,0.002068971,Health and Safety
Canada,0.0496553,Canada 5%,0.002758628,Society,"Illiteracy rate, total",1,0.002068971,Contribution to economic development
Canada,0.0496553,Canada 5%,0.002758628,Society,Life expectancy at birth,0,0.002068971,Health and Safety
Canada,0.0496553,Canada 5%,0.002758628,Society,Public expenditure on education,2,0.002068971,Contribution to economic development
Canada,0.0496553,Canada 5%,0.002758628,Value Chain Actors,Public sector corruption,2,0.012413825,Corruption
Canada,0.0496553,Canada 5%,0.002758628,Workers,"Children in employment, total",2,0.001773404,Child labour
Canada,0.0496553,Canada 5%,0.002758628,Workers,Evidence of violations of laws and employment regulations,3,0.001773404,"Social benefits, legal issues"
Canada,0.0496553,Canada 5%,0.002758628,Workers,"Sector average wage, per month",3,0.001773404,Fair Salary
Canada,0.0496553,Canada 5%,0.002758628,Workers,Trade union density,4,0.001773404,Freedom of association and collective bargaining
Canada,0.0496553,Canada 5%,0.002758628,Workers,Weekly hours of work per employee,3,0.001773404,Working time
Canada,0.0496553,Canada 5%,0.002758628,Workers,Women in the sectoral labour force,3,0.001773404,Discrimination
Canada,0.0496553,Canada 5%,0.002758628,Workers,Workers affected by natural disasters,1,0.001773404,Health and Safety
China,0.320855019,China 32.1%,0.017825279,Local Community,Drinking water coverage,2,0.020053439,Safe and healthy living conditions
China,0.320855019,China 32.1%,0.017825279,Local Community,International Migrant Stock,1,0.020053439,Migration
China,0.320855019,China 32.1%,0.017825279,Local Community,Presence of indigenous population,3,0.020053439,Respect of indigenous rights
China,0.320855019,China 32.1%,0.017825279,Local Community,Sanitation coverage,4,0.020053439,Safe and healthy living conditions
China,0.320855019,China 32.1%,0.017825279,Society,Embodied value added total,4,0.013368959,Contribution to economic development
China,0.320855019,China 32.1%,0.017825279,Society,Global Peace Index,3,0.013368959,Health and Safety
China,0.320855019,China 32.1%,0.017825279,Society,"Health expenditure, total",4,0.013368959,Health and Safety
China,0.320855019,China 32.1%,0.017825279,Society,"Illiteracy rate, total",3,0.013368959,Contribution to economic development
China,0.320855019,China 32.1%,0.017825279,Society,Life expectancy at birth,1,0.013368959,Health and Safety
China,0.320855019,China 32.1%,0.017825279,Society,Public expenditure on education,2,0.013368959,Contribution to economic development
China,0.320855019,China 32.1%,0.017825279,Value Chain Actors,Public sector corruption,5,0.080213755,Corruption
China,0.320855019,China 32.1%,0.017825279,Workers,"Children in employment, total",4,0.011459108,Child labour
China,0.320855019,China 32.1%,0.017825279,Workers,Evidence of violations of laws and employment regulations,3,0.011459108,"Social benefits, legal issues"
China,0.320855019,China 32.1%,0.017825279,Workers,"Sector average wage, per month",1,0.011459108,Fair Salary
China,0.320855019,China 32.1%,0.017825279,Workers,Trade union density,3,0.011459108,Freedom of association and collective bargaining
China,0.320855019,China 32.1%,0.017825279,Workers,Weekly hours of work per employee,3,0.011459108,Working time
China,0.320855019,China 32.1%,0.017825279,Workers,Women in the sectoral labour force,1,0.011459108,Discrimination
China,0.320855019,China 32.1%,0.017825279,Workers,Workers affected by natural disasters,4,0.011459108,Health and Safety
Indonesia,0.162816008,Indonesia 16.3%,0.009045334,Local Community,Drinking water coverage,3,0.010176001,Safe and healthy living conditions
